IOC,Type,Source,Description,Criticality,ConnectionType,USOM_ID,Date,AddedAt_UTC
38.54.125.134,ip,SB,MC,8,OT,1112752,2026-05-06 19:05:55.791094,2026-05-21 11:13:29
216.238.94.37,ip,SB,MC,8,OT,1112750,2026-05-06 19:05:55.791094,2026-05-21 11:13:29
158.247.238.240,ip,SB,MC,8,OT,1112748,2026-05-06 19:05:55.791094,2026-05-21 11:13:29
149.28.25.33,ip,SB,MC,8,OT,1112746,2026-05-06 19:05:55.791094,2026-05-21 11:13:29
154.205.154.194,ip,SB,MC,8,OT,1112744,2026-05-06 19:05:55.791094,2026-05-21 11:13:29
216.238.123.242,ip,SB,MC,8,OT,1112742,2026-05-06 19:05:55.791094,2026-05-21 11:13:29
179.43.167.210,ip,SB,MC,8,OT,1112740,2026-05-06 18:50:55.738845,2026-05-21 11:13:29
151.242.122.227,ip,SB,MC,8,OT,1112738,2026-05-06 18:50:55.738845,2026-05-21 11:13:29
205.209.116.54,ip,SB,MC,8,OT,1112736,2026-05-06 18:17:55.429721,2026-05-21 11:13:29
152.32.173.138,ip,SB,MC,8,OT,1112734,2026-05-06 18:17:55.429721,2026-05-21 11:13:29
132.243.172.2,ip,SB,MC,8,OT,1112732,2026-05-06 18:17:55.429721,2026-05-21 11:13:29
141.11.89.42,ip,SB,MC,8,OT,1112730,2026-05-06 18:17:55.429721,2026-05-21 11:13:29
88.151.195.133,ip,SB,MC,8,OT,1112728,2026-05-06 17:57:28.62921,2026-05-21 11:13:29
45.140.168.62,ip,SB,MC,8,OT,1112722,2026-05-06 17:57:28.62921,2026-05-21 11:13:29
156.238.224.82,ip,SB,MC,8,OT,1112720,2026-05-06 17:57:28.62921,2026-05-21 11:13:29
45.135.135.100,ip,SB,MC,8,OT,1112712,2026-05-06 17:57:28.62921,2026-05-21 11:13:29
103.27.108.55,ip,SB,MC,8,OT,1112710,2026-05-06 17:57:28.62921,2026-05-21 11:13:29
85.209.156.3,ip,SB,MC,8,OT,1112706,2026-05-06 17:52:56.41386,2026-05-21 11:13:29
185.196.10.136,ip,SB,MC,8,OT,1112670,2026-05-06 16:51:36.064048,2026-05-21 11:13:29
172.86.76.120,ip,SB,MC,8,OT,1112666,2026-05-06 16:30:03.091016,2026-05-21 11:13:29
172.86.76.121,ip,SB,MC,8,OT,1112664,2026-05-06 16:28:59.23173,2026-05-21 11:13:29
172.86.76.130,ip,SB,MC,8,OT,1112662,2026-05-06 16:28:59.23173,2026-05-21 11:13:29
45.59.114.60,ip,SB,MC,8,OT,1112660,2026-05-06 16:28:59.23173,2026-05-21 11:13:29
